TP,FP,FN,TN,Precision,Recall,F1,IoU,Accuracy,Image,Inference_ms
2563,76983,144,93366,0.032220350488984716,0.9468045806816844,0.06231990901736615,0.032162128246916596,0.5543234559911243,3600.rf.b7b614527ef02e79cf9bac0f01499db1.jpg,7.1629000012762845
1993,2311,87,168665,0.4630576208070851,0.958173076877011,0.6243733896325175,0.45388294237180865,0.9861432137573964,3808.rf.493b34c335bf6a7418b971aa62b7d0fd.jpg,2.447200007736683
2433,174,241,170208,0.9332566167651225,0.909872849629399,0.9214163483825474,0.8542837078351727,0.9976019323224852,3813.rf.e15af5ed48e2b7af887d08311ef9a478.jpg,2.034700009971857
2717,28043,153,142143,0.08832899869932273,0.9466898954373976,0.16158190529150057,0.08789182544532109,0.8370700813609467,3833.rf.e85ce14ff45661fe11e7d51a072cdef6.jpg,4.328899987740442
2079,56225,316,114436,0.03565793084516387,0.868058455078578,0.06850194467596253,0.03546571136124963,0.6732791697485208,3836.rf.5593476e218d3458202eb55d88f70676.jpg,4.930600000079721
3321,6464,773,162498,0.3393970362765519,0.8111871030578607,0.47856469649343203,0.31454820988525717,0.9581811667899408,3841.rf.10b7cdb473d0d68639078e98f220754a.jpg,4.7587000008206815
2270,43294,122,127370,0.049820033359560575,0.9489966554787209,0.09467010479279447,0.04968699382732197,0.7491216715976331,3848.rf.eebe99038cd40502695607594e000258.jpg,3.9164999907370657
1739,9724,130,161463,0.15170548721842705,0.9304440876976755,0.2608760634976379,0.15000431294617436,0.9430588942307693,3852.rf.449ecbe5cec6616321519ad9291ee6ea.jpg,3.561400022590533
3278,97043,221,72514,0.03267511288759813,0.9368390968580498,0.06314774921761215,0.032603290167260844,0.4379622781065089,3872.rf.0e39fa77d324ee70da6d5e31e943678c.jpg,5.448700016131625
1216,33,360,171447,0.9735788630125236,0.771573604011956,0.8608849063611963,0.7557489123209603,0.9977290588017751,3885.rf.5d0b08090bb3c2fcd3bc8fe36db9e51a.jpg,1.8816000083461404
1811,13687,16,157542,0.11685378758474091,0.9912424739468394,0.20906203019286046,0.11673327317186584,0.920817538831361,3897.rf.94c81f86436f41e7bba4b2e66934a470.jpg,4.1606000158935785
